circuit,circuit_path,initial_area,final_area,area_reduction,area_reduction_pct
encoder_8to3_s5.aag,testcase/Synthetic/encoder_8to3_s5/encoder_8to3_s5.aag,18,18,0,0.0
filter_16b_4tap_m2.aag,testcase/Synthetic/filter_16b_4tap_m2/filter_16b_4tap_m2.aag,643,604,39,6.065318818040436
filter_16b_4tap_m6.aag,testcase/Synthetic/filter_16b_4tap_m6/filter_16b_4tap_m6.aag,643,604,39,6.065318818040436
filter_16b_8tap_m4.aag,testcase/Synthetic/filter_16b_8tap_m4/filter_16b_8tap_m4.aag,2205,2022,183,8.299319727891156
filter_8b_4tap_m1.aag,testcase/Synthetic/filter_8b_4tap_m1/filter_8b_4tap_m1.aag,260,249,11,4.230769230769231
filter_8b_4tap_m5.aag,testcase/Synthetic/filter_8b_4tap_m5/filter_8b_4tap_m5.aag,260,249,11,4.230769230769231
filter_8b_8tap_m3.aag,testcase/Synthetic/filter_8b_8tap_m3/filter_8b_8tap_m3.aag,852,807,45,5.28169014084507
fir_16b_16tap_ml4.aag,testcase/Synthetic/fir_16b_16tap_ml4/fir_16b_16tap_ml4.aag,5813,5423,390,6.709100292447961
fir_16b_8tap_ml2.aag,testcase/Synthetic/fir_16b_8tap_ml2/fir_16b_8tap_ml2.aag,2200,2029,171,7.7727272727272725
fir_16b_8tap_ml6.aag,testcase/Synthetic/fir_16b_8tap_ml6/fir_16b_8tap_ml6.aag,2200,2029,171,7.7727272727272725
fir_8b_16tap_ml3.aag,testcase/Synthetic/fir_8b_16tap_ml3/fir_8b_16tap_ml3.aag,2231,2144,87,3.899596593455849
fir_8b_8tap_ml1.aag,testcase/Synthetic/fir_8b_8tap_ml1/fir_8b_8tap_ml1.aag,844,812,32,3.7914691943127963
fir_8b_8tap_ml5.aag,testcase/Synthetic/fir_8b_8tap_ml5/fir_8b_8tap_ml5.aag,844,812,32,3.7914691943127963
mac_16b_l1.aag,testcase/Synthetic/mac_16b_l1/mac_16b_l1.aag,15261,14887,374,2.450691304632724
mac_8b_l4.aag,testcase/Synthetic/mac_8b_l4/mac_8b_l4.aag,2137,2097,40,1.8717828731867103
mult_16x16_booth4_vl3.aag,testcase/Synthetic/mult_16x16_booth4_vl3/mult_16x16_booth4_vl3.aag,6417,6060,357,5.563347358578776
mult_16x16_booth4_vl6.aag,testcase/Synthetic/mult_16x16_booth4_vl6/mult_16x16_booth4_vl6.aag,6417,6060,357,5.563347358578776
mult_16x16_dadda_vl2.aag,testcase/Synthetic/mult_16x16_dadda_vl2/mult_16x16_dadda_vl2.aag,6417,6060,357,5.563347358578776
mult_16x16_dadda_vl5.aag,testcase/Synthetic/mult_16x16_dadda_vl5/mult_16x16_dadda_vl5.aag,6417,6060,357,5.563347358578776
mult_16x16_wallace_vl1.aag,testcase/Synthetic/mult_16x16_wallace_vl1/mult_16x16_wallace_vl1.aag,6417,6060,357,5.563347358578776
mult_16x16_wallace_vl4.aag,testcase/Synthetic/mult_16x16_wallace_vl4/mult_16x16_wallace_vl4.aag,6417,6060,357,5.563347358578776
mult_4x4_array_ml1.aag,testcase/Synthetic/mult_4x4_array_ml1/mult_4x4_array_ml1.aag,85,85,0,0.0
mult_4x4_array_ml4.aag,testcase/Synthetic/mult_4x4_array_ml4/mult_4x4_array_ml4.aag,85,85,0,0.0
mult_4x4_booth_ml2.aag,testcase/Synthetic/mult_4x4_booth_ml2/mult_4x4_booth_ml2.aag,182,172,10,5.4945054945054945
mult_4x4_booth_ml5.aag,testcase/Synthetic/mult_4x4_booth_ml5/mult_4x4_booth_ml5.aag,182,172,10,5.4945054945054945
mult_4x4_wallace_ml3.aag,testcase/Synthetic/mult_4x4_wallace_ml3/mult_4x4_wallace_ml3.aag,92,87,5,5.434782608695652
mult_4x4_wallace_ml6.aag,testcase/Synthetic/mult_4x4_wallace_ml6/mult_4x4_wallace_ml6.aag,92,87,5,5.434782608695652
mult_8x8_array_l1.aag,testcase/Synthetic/mult_8x8_array_l1/mult_8x8_array_l1.aag,429,426,3,0.6993006993006993
mult_8x8_array_l5.aag,testcase/Synthetic/mult_8x8_array_l5/mult_8x8_array_l5.aag,429,426,3,0.6993006993006993
mult_8x8_booth_l2.aag,testcase/Synthetic/mult_8x8_booth_l2/mult_8x8_booth_l2.aag,971,894,77,7.929969104016478
mult_8x8_booth_l6.aag,testcase/Synthetic/mult_8x8_booth_l6/mult_8x8_booth_l6.aag,971,894,77,7.929969104016478
mult_8x8_dadda_l4.aag,testcase/Synthetic/mult_8x8_dadda_l4/mult_8x8_dadda_l4.aag,824,759,65,7.8883495145631075
mult_8x8_dadda_l8.aag,testcase/Synthetic/mult_8x8_dadda_l8/mult_8x8_dadda_l8.aag,824,759,65,7.8883495145631075
mult_8x8_wallace_l3.aag,testcase/Synthetic/mult_8x8_wallace_l3/mult_8x8_wallace_l3.aag,824,759,65,7.8883495145631075
mult_8x8_wallace_l7.aag,testcase/Synthetic/mult_8x8_wallace_l7/mult_8x8_wallace_l7.aag,824,759,65,7.8883495145631075
mux_16to1_s4.aag,testcase/Synthetic/mux_16to1_s4/mux_16to1_s4.aag,41,41,0,0.0
